Latitude,Longitude
31.215884,-85.3630079
34.22159,-86.160495
34.7939615,-87.6826906
31.2919852,-86.2542062
31.6933529,-86.2650941
33.596457,-86.6676502
34.4412144,-85.756328
33.2524139,-86.8130445
NA,
34.7464821,-87.6989111
31.451328,-85.632075
34.1627543,-85.6513663
32.327725,-86.2776717
32.3670831,-86.2853492
32.6401629,-85.4037506
33.3106697,-85.4850053
33.5058687,-86.8020798
NA,
34.2075866,-86.8748531
31.2962978,-86.4947624
33.6676877,-85.8250465
34.721046,-86.581799
34.0074022,-85.9675719
34.1267995,-87.9914652
33.7080266,-87.8242179
34.0042649,-86.003393
31.6363932,-86.7431303
31.318647,-85.855114
32.842183,-87.890069
32.8200627,-85.7415775
31.2379068,-85.456757
33.5071812,-86.7889111
32.9511828,-87.1480197
34.4828876,-87.286024
34.6617256,-86.0466422
31.048774,-85.890977
NA,
31.8887,-85.1562
33.2774347,-85.8220792
33.6563953,-85.8228352
34.8042607,-86.979177
30.4260938,-87.6843079
34.5904135,-86.972417
33.929558,-87.8249187
30.7072875,-88.0985628
33.841043,-87.2365408
30.6782817,-88.1985523
35.3804352,-83.1995828
33.2047953,-87.5266956
32.6954864,-87.586985
32.5523616,-86.1863803
31.1256096,-87.0726476
30.5190265,-87.8883067
33.4397792,-86.0921347
31.9980953,-87.3001629
33.4984021,-86.8470166
33.4327755,-86.7188447
32.464172,-86.451767
33.274677,-88.089069
32.146119,-85.713048
32.4975745,-87.8479375
30.6963935,-88.0798395
33.372273,-86.9908055
32.4292722,-87.056025
34.7934376,-86.9657023
NA,
31.7811497,-85.9449087
31.5311947,-87.895053
30.903945,-87.785172
33.6043705,-86.3017253
34.6939279,-86.5719324
32.4917406,-88.2960472
33.4634728,-86.7766851
30.6852336,-88.1317111
NA,
31.4309781,-86.9408213
32.3762284,-86.1748296
31.8290939,-86.64627
34.744969,-87.675383
34.5107726,-87.7183471
33.1644466,-86.2552042
32.5080845,-85.0086714
31.0166253,-87.4763489
36.0731105,-79.7986083
32.8802913,-86.622606
31.459417,-88.2350748
NA,
32.0916736,-88.2082907
33.9333028,-86.4949953
33.5053682,-86.8058712
30.6974512,-88.0779587
61.1879049,-149.8169138
61.5631603,-149.2576383
58.3290164,-134.4649167
64.8311569,-147.7399472
61.210404,-149.8286335
60.7922222,-161.7558334
NA,
57.0581071,-135.3460951
57.8008837,-152.3756472
NA,
59.0397222,-158.4575
66.8983333,-162.5966666
55.3536571,-131.6866346
57.0519903,-135.3551987
33.5027819,-112.1707791
33.4649674,-112.0578836
32.2524018,-110.8782029
34.7357288,-112.029221
32.2283146,-110.9995887
32.2264891,-110.8550125
34.5593433,-112.4811126
32.6823988,-114.634916
33.5689294,-112.0710274
32.8807401,-111.7097455
33.4573098,-112.0261191
35.2090049,-111.6439073
33.481882,-112.0793096
